Client ID,R2,MAE,MSE,RMSE
3,-0.5037179007727608,5.79829353129069,49.82771490143446,7.0588749033705405
10,0.9272818145270344,12.09663324356079,273.6003257496232,16.540868349322633
5,0.8492493974341825,20.440354315439862,668.7818461690238,25.86081681171389
1,0.041950612170162827,16.78934209187825,307.1574114282851,17.525906864647123
2,0.6555824248219139,7.406498578389486,78.42788643989826,8.855952034643042
18,0.8417218394067785,4.8565207302093505,57.71910314326857,7.597308940886146
8,0.6443761001654645,4.429820968310039,25.60818752700394,5.060453292641276
16,0.7408562302034842,12.318717002868652,232.33495877026508,15.242537806095974
14,0.9260246695733924,3.6399285062154134,20.1101698298785,4.484436400472026
13,0.5382712213593557,3.57288543065389,16.382407369892558,4.0475186682574495
15,0.9056072798676209,4.239818916320801,20.452933561478165,4.522491963672038
19,0.9023803255970119,3.5666378625233968,15.836431195147556,3.979501375191062
9,-0.003127173318408394,2.6209246810277302,9.688808121755711,3.1126850341394503
17,0.906730688596534,4.644662462870278,25.10243236936383,5.01023276598641
11,-0.4793644204628136,3.0319327545166015,11.86821313436566,3.445027305314961
12,0.8308003389090524,4.676145397822062,33.23560484366486,5.765032943849051
7,0.44882632539626965,52.076988538106285,3738.4471294699274,61.14284201335368
4,0.9309248655652225,8.263186225891113,130.61791309187007,11.428819409364646
6,0.8398525509982588,7.31166160583496,78.24366177010442,8.845544741286679
